"loc","lat","long","basin","huc12","state","county","ecoregion3","ecoregion4","eco4","gridcode","catchkm2","fid","bfi","elev","roaddens","storder","flow","slope","huc08","fish.rich"
"RV_07_3112",31.073334,-81.735977,"Satilla (07)","030702011201","Georgia","Camden","Southern Coastal Plain","75f","Sea Island Flatwoods",2471628,51.8427,166743352,30,5.17395083589396,2.44296589387705,1,-0.202229313803592,0.00001,"03070201",46
"RV_07_3117",31.088268,-81.760213,"Satilla (07)","030702011201","Georgia","Camden","Southern Coastal Plain","75f","Sea Island Flatwoods",2471628,51.8427,166743352,30,5.17395083589396,2.44296589387705,1,-0.202229313803592,0.00001,"03070201",46
"RV_09_3327",30.693162,-83.327402,"Suwannee (09)","031102030803","Georgia","Lowndes","Southeastern Plains","65o","Tallahassee Hills/Valdosta Limesink",2502125,31.0905,2067114,45.6101606600087,56.8257113909394,1.89308764648934,1,-0.33809244387622,0.00325192,"03110203",54
"RV_09_3335",30.856776,-83.112932,"Suwannee (09)","031102020902","Georgia","Lowndes","Southern Coastal Plain","75e","Okefenokee Plains",2500398,4.4379,2016674,39.9835733117015,52.9845447170959,1.00812676701886,2,-0.384675156315861,0.00204756,"03110202",47
"RV_09_3354",30.688913,-83.054843,"Suwannee (09)","031102021205","Georgia","Echols","Southern Coastal Plain","75e","Okefenokee Plains",2500035,4.9842,2016564,44,35.4479487179487,0.87759138466775,6,1.52835431121849,0.00042837,"03110202",47
"RV_09_3355",30.681843,-83.379569,"Suwannee (09)","031102030804","Georgia","Lowndes","Southeastern Plains","65o","Tallahassee Hills/Valdosta Limesink",2502631,22.1697,2067122,47.3097470872407,45.7710895952584,1.10256435896967,1,-0.465457688071988,0.00215924,"03110203",54
"RV_09_3358",30.879214,-83.034624,"Suwannee (09)","031102021202","Georgia","Lowndes","Southern Coastal Plain","75e","Okefenokee Plains",2501844,4.8519,2016462,38,51.3324893340753,0.98271561165461,1,-1.09801483780443,0.00338642,"03110202",47
"RV_10_3419",30.804079,-84.472225,"Ochlockonee (10)","031200030202","Georgia","Decatur","Southeastern Plains","65h","Tifton Upland",2518078,3.1869,10362178,47.0121434622988,70.9143772945496,0.913811712101101,2,-0.550220049979869,0.00305105,"03120003",71
"RV_10_3421",30.713026,-84.212872,"Ochlockonee (10)","031200030102","Georgia","Grady","Southeastern Plains","65o","Tallahassee Hills/Valdosta Limesink",2518033,17.3106,10362338,46,57.0125751273786,2.57948481975668,1,-0.553023089847725,0.00341112,"03120003",71
"RV_10_3427",30.666114,-84.319699,"Ochlockonee (10)","031200030102","Florida","Gadsden (FL)","Southeastern Plains","65h","Tifton Upland",2518047,6.5034,10362518,45.9211181843344,42.3927248823692,1.84173564781345,2,-0.346422153134385,0.0020455,"03120003",71
"RV_11_3783",32.823089,-84.604785,"Flint (11)","031300050804","Georgia","Talbot","Piedmont","45h","Pine Mountain Ridges",2526174,2.6892,6420698,51,247.470973895582,1.25449234259036,2,-0.85125004564385,0.00463344,"03130005",51
"RV_11_3790",33.579133,-84.385046,"Flint (11)","031300050101","Georgia","Clayton","Piedmont","45b","Southern Outer Piedmont",2515499,3.5352,6411744,45,263.253566700611,5.93552464465377,2,-0.0813254283963746,0.00154795,"03130005",51
"RV_11_3791",30.853712,-84.566905,"Flint (11)","031300080802","Georgia","Decatur","Southeastern Plains","65g","Dougherty Plain",2533111,6.3414,3425674,47.8455861481692,36.9695131989781,2.34363365415839,2,-0.439796875321364,0.00282629,"03130008",57
"RV_11_3795",31.441097,-84.464455,"Flint (11)","031300090901","Georgia","Baker","Southeastern Plains","65g","Dougherty Plain",2534386,23.868,6471970,57,56.163572775264,1.04081679456637,1,-0.133266533257722,0.00046153,"03130009",56
"RV_11_3797",31.61481,-84.32581,"Flint (11)","031300090701","Georgia","Dougherty","Southeastern Plains","65g","Dougherty Plain",2533733,14.3892,6470082,57,67.6383756567425,0.919919037965975,3,-0.12331916192757,0.00113048,"03130009",56
"RV_11_3799",32.112128,-84.498856,"Flint (11)","031300070202","Georgia","Webster","Southeastern Plains","65c","Sand Hills",2532080,0.0846,6458153,59,113.284893617021,0.788274466991489,3,-0.18284239495019,0.00125698,"03130007",45
"RV_11_3800",32.790847,-84.606004,"Flint (11)","031300050801","Georgia","Talbot","Piedmont","45h","Pine Mountain Ridges",2515531,1.5318,6418848,51.0681551116334,215.787262044653,1.95445249503525,3,-0.110316229077397,0.0030239,"03130005",51
"RV_11_3811",32.853642,-84.487571,"Flint (11)","031300050705","Georgia","Talbot","Piedmont","45h","Pine Mountain Ridges",2526278,2.9637,6420686,51,218.455906468266,0.615761290883693,3,-0.424332821826493,0.00484162,"03130005",51
"RV_11_3814",32.868742,-84.612156,"Flint (11)","031300050704","Georgia","Meriwether","Piedmont","45h","Pine Mountain Ridges",2515374,4.5801,6418244,51,253.046293967381,5.18008024382,3,-0.402821600216273,0.00332774,"03130005",51
"RV_11_3816",33.038263,-84.358998,"Flint (11)","031300050602","Georgia","Pike","Piedmont","45b","Southern Outer Piedmont",2526138,2.7225,6415072,48,248.60892892562,1.75589034048926,2,-0.668573189403425,0.00369517,"03130005",51
"RV_11_3817",32.417964,-84.47553,"Flint (11)","031300060202","Georgia","Marion","Southeastern Plains","65c","Sand Hills",2530113,1.674,6443094,59,159.475720430108,1.22902323036559,3,0.00866021810477129,0.00045424,"03130006",56
"RV_11_3824",33.005264,-84.296152,"Flint (11)","031300050904","Georgia","Pike","Piedmont","45h","Pine Mountain Ridges",2526919,3.2022,6415270,47,238.17467678471,1.88512357152614,2,-0.520443134128956,0.00391653,"03130005",51
"RV_11_3835",32.734794,-84.285163,"Flint (11)","031300051103","Georgia","Taylor","Piedmont","45b","Southern Outer Piedmont",2527316,6.8598,6419284,52,140.685362109683,0.991813125469597,2,-0.734775293991756,0.00528682,"03130005",51
"RV_11_3837",32.881449,-84.477361,"Flint (11)","031300050705","Georgia","Upson","Piedmont","45h","Pine Mountain Ridges",2526612,7.0272,6418102,51,243.812978995902,0.670092179205909,3,-0.498815363418802,0.00505303,"03130005",51
"RV_11_3838",32.525829,-84.311749,"Flint (11)","031300051501","Georgia","Taylor","Southeastern Plains","65c","Sand Hills",2515230,3.3696,6420386,59.0592948717949,155.352574786325,1.46188421356303,3,0.0686352037313252,0.00236677,"03130005",51
"RV_12_4278",32.742943,-84.910728,"Chattahoochee (12)","031300021207","Georgia","Harris","Piedmont","45h","Pine Mountain Ridges",2525157,2.3364,3294840,52,193.094322033898,2.40658267642142,2,-0.726049449225444,0.00536834,"03130002",67
"RV_12_4286",34.73724,-83.77089,"Chattahoochee (12)","031300010101","Georgia","White","Blue Ridge","66d","Southern Crystaline Ridges and Mountains",2519371,1.791,2040597,63.5618090452261,592.11016080402,0.768306175321608,3,0.296086215463249,0.01364353,"03130001",42
"RV_12_4288",31.992726,-84.697474,"Chattahoochee (12)","031300031501","Georgia","Stewart","Southeastern Plains","65d","Southern Hilly Gulf Coastal Plain",2512626,1.5192,3440272,58,124.860041469194,1.31072076152251,3,-0.680783075399117,0.00176151,"03130003",77
"RV_12_4289",31.30768,-85.07788,"Chattahoochee (12)","031300040503","Georgia","Early","Southeastern Plains","65g","Dougherty Plain",2513342,1.2069,2309519,55,49.8160402684564,2.35185830628776,3,-0.0942247970734735,0.00380976,"03130004",78
"RV_12_4291",32.039752,-84.85728,"Chattahoochee (12)","031300031402","Georgia","Stewart","Southeastern Plains","65d","Southern Hilly Gulf Coastal Plain",2508068,3.2076,3433904,56.3024691358025,144.312612233446,0.78275509865881,1,-1.0120290851822,0.00736474,"03130003",77
"RV_12_4293",31.768822,-85.081764,"Chattahoochee (12)","031300031313","Georgia","Clay","Southeastern Plains","65d","Southern Hilly Gulf Coastal Plain",2512035,1.917,3442776,53,85.5921737089202,0.922029211713615,2,-0.403319358989275,0.00322561,"03130003",77
"RV_12_4294",34.69374,-83.777643,"Chattahoochee (12)","031300010103","Georgia","White","Blue Ridge","66d","Southern Crystaline Ridges and Mountains",2519355,2.0682,2040811,65.6348999129678,575.758368146214,1.52985322881201,3,0.116404047973374,0.01834037,"03130001",42
"RV_12_4296",32.088386,-84.976528,"Chattahoochee (12)","031300030901","Georgia","Stewart","Southeastern Plains","65d","Southern Hilly Gulf Coastal Plain",2512052,1.6587,3433750,54,88.1684047748237,1.75900262874118,3,-0.367256625281733,0.00379763,"03130003",77
"RV_12_4297",32.14205,-84.756105,"Chattahoochee (12)","031300030701","Georgia","Stewart","Southeastern Plains","65d","Southern Hilly Gulf Coastal Plain",2525947,0.0936,3433488,56,105.322019230769,0.914496787465385,3,-0.136201476532881,0.00448275,"03130003",77
"RV_12_4299",32.269538,-84.783278,"Chattahoochee (12)","031300030603","Georgia","Chattahoochee","Southeastern Plains","65c","Sand Hills",2526047,1.8936,3432988,55.0299429657795,115.833730988593,3.17966213153992,3,-0.250633112372465,0.00420289,"03130003",77
"RV_12_4300",33.341036,-85.228295,"Chattahoochee (12)","031300020601","Georgia","Heard","Piedmont","45a","Southern Inner Piedmont",2521586,2.8629,3291248,51.0009430996542,312.225906947501,1.46130369325055,3,-0.0751555113464827,0.00601542,"03130002",67
"RV_12_4303",32.353715,-84.777035,"Chattahoochee (12)","031300030307","Georgia","Chattahoochee","Southeastern Plains","65d","Southern Hilly Gulf Coastal Plain",2508569,3.2283,3432602,54.2185670476721,108.01642877056,1.65782076588235,3,-0.553198881990139,0.0024431,"03130003",77
"RV_12_4304",32.330526,-84.705611,"Chattahoochee (12)","031300030306","Georgia","Chattahoochee","Southeastern Plains","65c","Sand Hills",2511331,1.755,3432714,56,133.955384615385,1.71462529530769,3,-0.446311841087454,0.00344414,"03130003",77
"RV_12_4313",31.377778,-85.074507,"Chattahoochee (12)","031300040501","Georgia","Early","Southeastern Plains","65p","Southeastern Floodplains and Low Terraces",2513731,7.9794,2309195,54.8198736747124,73.69691969321,1.73311555284232,1,-0.818710019352461,0.00580956,"03130004",78
"RV_12_4314",33.836002,-84.631025,"Chattahoochee (12)","031300020207","Georgia","Cobb","Piedmont","45a","Southern Inner Piedmont",2523034,35.0838,3285556,48.5210866553794,304.339110358627,7.46501287427531,1,-0.158789742213235,0.00273418,"03130002",67
"RV_12_4317",32.43949,-84.646604,"Chattahoochee (12)","031300030301","Georgia","Marion","Southeastern Plains","65c","Sand Hills",2507668,3.1635,3432038,56,129.304145092461,1.37480628458321,4,-0.0312882674787244,0.0016233,"03130003",77
"RV_12_4318",33.794444,-84.474444,"Chattahoochee (12)","031300020101","Georgia","Fulton","Piedmont","45b","Southern Outer Piedmont",2522848,6.5232,3285608,46,256.138376103753,7.94963531185185,2,-0.183086027910805,0.00139294,"03130002",67
"RV_12_4319",31.550923,-85.017539,"Chattahoochee (12)","031300040104","Georgia","Clay","Southeastern Plains","65d","Southern Hilly Gulf Coastal Plain",2513820,6.9336,2306287,55.069963655244,75.9823974558671,0.776036266009865,3,-0.441492942781646,0.00667251,"03130004",78
"RV_12_4321",33.923581,-84.479003,"Chattahoochee (12)","031300011104","Georgia","Cobb","Piedmont","45a","Southern Inner Piedmont",2519171,23.1912,2048063,48.4212589257994,311.340774216082,9.53997215038032,1,-0.326906914884871,0.00452587,"03130001",42
"RV_12_4322",32.410652,-84.726556,"Chattahoochee (12)","031300030302","Georgia","Chattahoochee","Southeastern Plains","65d","Southern Hilly Gulf Coastal Plain",2508348,1.4094,3432268,55.4291187739464,118.035664112388,1.59294075698595,2,-0.640490719811911,0.00589807,"03130003",77
"RV_12_4328",32.746164,-84.728221,"Chattahoochee (12)","031300021202","Georgia","Harris","Piedmont","45h","Pine Mountain Ridges",2524912,7.9245,3295646,51.9441226575809,248.211559341283,1.31703536581488,3,-0.149512328274283,0.00418261,"03130002",67
"RV_12_4333",33.298172,-85.266937,"Chattahoochee (12)","031300020602","Georgia","Heard","Piedmont","45a","Southern Inner Piedmont",2522890,1.566,3291310,52,330.915540229885,0.960671320011494,2,-0.698474989333781,0.00730871,"03130002",67
"RV_12_4336",31.641643,-84.977642,"Chattahoochee (12)","031300040103","Georgia","Clay","Southeastern Plains","65d","Southern Hilly Gulf Coastal Plain",2513896,1.494,2305265,55.9969879518072,74.7816686746988,1.38965525526506,2,-0.359646196383763,0.00388817,"03130004",78
"RV_12_4338",32.439538,-84.961974,"Chattahoochee (12)","031300030103","Georgia","Muscogee","Southeastern Plains","65p","Southeastern Floodplains and Low Terraces",2511296,1.4121,3432108,52,72.0023072020395,8.89697248967495,2,-0.633031178372619,0.00423932,"03130003",77
"RV_12_4340",33.461389,-84.997222,"Chattahoochee (12)","031300020404","Georgia","Carroll","Piedmont","45a","Southern Inner Piedmont",2521629,0.9819,3288652,51,235.198203483043,4.9682432855637,3,0.074320382076805,0.00413821,"03130002",67
"RV_12_4341",32.747627,-84.818623,"Chattahoochee (12)","031300021205","Georgia","Harris","Piedmont","45b","Southern Outer Piedmont",2525009,0.5022,3294776,52,219.50417562724,2.73015592238351,2,-1.19693297399364,0.01124343,"03130002",67
"RV_12_4986",30.686439,-84.8183,"Chattahoochee (12)","031300110102","Florida","Gadsden (FL)","Southeastern Plains","65h","Tifton Upland",2535874,4.1733,2292730,48,41.002145783912,1.81962785895406,3,-0.0214485510823441,0.00178632,"03130011",82
"RV_13_4396",33.85929,-85.248761,"Tallapoosa (13)","031501080201","Georgia","Haralson","Piedmont","45d","Talledega Upland",2573081,1.1376,15810601,49,319.932761075949,1.25709747051424,3,-0.0164385911246609,0.0017325,"03150108",68
"RV_13_4400",33.77176,-85.287904,"Tallapoosa (13)","031501080206","Georgia","Haralson","Piedmont","45d","Talledega Upland",2573116,4.7322,15809395,50,317.42105363256,4.54524741787752,2,-0.560468320444674,0.00508247,"03150108",68
"RV_13_4403",33.785075,-85.309243,"Tallapoosa (13)","031501080204","Georgia","Haralson","Piedmont","45d","Talledega Upland",2573052,6.3162,15809253,49.3639213451126,314.186895126817,1.80748106088629,2,-0.16475105542912,0.00352613,"03150108",68
"RV_13_4404",33.474787,-85.241952,"Tallapoosa (13)","031501080605","Georgia","Carroll","Piedmont","45a","Southern Inner Piedmont",2574060,0.8694,15811489,51,308.526946169772,2.18945844165631,3,-0.25247669389975,0.00319688,"03150108",68
"RV_13_4406",33.919736,-85.076221,"Tallapoosa (13)","031501080104","Georgia","Polk","Piedmont","45d","Talledega Upland",2572870,3.024,15808725,47.8386904761905,374.345672619048,2.18202105458929,1,-1.07040049437879,0.01075993,"03150108",68
"RV_14_4811",34.601827,-85.388773,"Coosa (14)","031501050403","Georgia","Walker","Ridge and Valley","67f","Southern Limestone/Dolomite Valleys and Low Rolling Hills",2564770,1.8369,15819181,40,275.719887310142,0.67955241911318,3,-0.00141316309963629,0.0210052,"03150105",70
"RV_14_4813",34.605863,-85.115854,"Coosa (14)","031501030504","Georgia","Walker","Ridge and Valley","67f","Southern Limestone/Dolomite Valleys and Low Rolling Hills",2559785,31.2705,6487180,43.8420204345949,295.536341344078,0.848786289109224,4,0.327626277750119,0.00212325,"03150103",65
"RV_14_4816",34.623055,-85.245555,"Coosa (14)","031501050406","Georgia","Walker","Ridge and Valley","67f","Southern Limestone/Dolomite Valleys and Low Rolling Hills",2564070,1.6992,15819755,41.8702330508475,264.340397245763,1.74430443101695,2,-0.158577078625257,0.00520526,"03150105",70
"RV_14_4819",34.377127,-85.393541,"Coosa (14)","031501050603","Georgia","Chattooga","Ridge and Valley","67f","Southern Limestone/Dolomite Valleys and Low Rolling Hills",2564047,2.0745,15820693,42,202.212394793926,2.69527500799132,3,-0.206501516824712,0.00223599,"03150105",70
"RV_14_4826",34.318361,-85.107785,"Coosa (14)","031501030603","Georgia","Floyd","Ridge and Valley","67g","Southern Shale Valleys",2560366,0.8352,6489514,45.9956896551724,206.640021551724,3.14190835081897,3,-0.300989720019024,0.00281538,"03150103",65
"RV_14_4828",34.030305,-84.824015,"Coosa (14)","031501041103","Georgia","Paulding","Piedmont","45d","Talledega Upland",2563024,3.3993,6498274,48.8366428382314,278.466597828965,2.87604367029388,1,-1.18793073738837,0.01658714,"03150104",76
"RV_14_4829",34.263568,-85.08553,"Coosa (14)","031501041604","Georgia","Floyd","Ridge and Valley","67f","Southern Limestone/Dolomite Valleys and Low Rolling Hills",2561612,2.3427,6499766,46,212.801417595083,2.69870726867845,3,-0.142934070384683,0.00214489,"03150104",76
"RV_14_4830",34.522679,-85.504866,"Coosa (14)","031501050701","Georgia","Chattooga","Southwestern Appalachians ","68d","Southern Table Plateau",2564297,4.779,15819771,39.9214689265537,477.553435028249,1.54028086893409,2,-0.0364601629042016,0.00851156,"03150105",70
"RV_14_4832",34.81209,-84.65405,"Coosa (14)","031501010401","Georgia","Murray","Blue Ridge","66g","Southern Metasedimentary Mountains",2557670,0.6264,12193532,55.1522988505747,353.290545977012,0.631194369033046,4,0.130097964041088,0.01779644,"03150101",81
"RV_14_4834",34.9881,-84.6344,"Coosa (14)","031501010102","Georgia","Murray","Blue Ridge","66g","Southern Metasedimentary Mountains",2557267,8.2917,12192642,57.3868446760013,441.873141213503,0.510930665563877,3,0.593023336899204,0.01113197,"03150101",81
"RV_14_4839",34.278333,-85.438889,"Coosa (14)","031501050204","Georgia","Floyd","Ridge and Valley","67g","Southern Shale Valleys",2564388,0.2574,15821233,42,195.090734265734,2.44254088401748,2,-0.610688754366355,0.00864179,"03150105",70
"RV_14_4841",34.534829,-84.796003,"Coosa (14)","031501020605","Georgia","Gordon","Ridge and Valley","67g","Southern Shale Valleys",2558550,2.6019,6479055,53.0432376340367,200.680843998616,1.36659420004497,3,-0.0429687392325419,0.00122895,"03150102",68
"RV_14_4842",34.508812,-85.218886,"Coosa (14)","031501030401","Georgia","Chattooga","Ridge and Valley","67g","Southern Shale Valleys",2560380,2.1348,6487240,43,232.140501686341,2.66714197678752,3,-0.439830731839168,0.00396369,"03150103",65
